fish_name,length_estimate
GOPR0015.png,24.72
GOPR0091.png,27.16
GOPR0093.png,24.07
GOPR0112.png,23.58
GOPR0192.png,22.93
GOPR0156.png,21.63
GOPR0090.png,27.16
GOPR0144.png,25.53
GOPR0126.png,28.62
GOPR0100.png,23.74
GOPR0014.png,25.04
GOPR0020.png,22.44
GOPR0216.png,22.6
GOPR0024.png,20.65
GOPR0068.png,26.18
GOPR0086.png,22.6
GOPR0176.png,21.79
GOPR0187.png,27.32
GOPR0163.png,24.23
GOPR0159.png,29.11
GOPR0203.png,22.44
GOPR0049.png,20.65
GOPR0191.png,22.93
GOPR0123.png,26.83
GOPR0075.png,23.25
GOPR0070.png,25.04
GOPR0180.png,22.44
GOPR0117.png,24.07
GOPR0160.png,28.95
GOPR0207.png,24.88
GOPR0182.png,27.65
GOPR0205.png,27.81
GOPR0058.png,28.95
GOPR0145.png,25.45
GOPR0175.png,21.3
GOPR0052.png,26.59
GOPR0151.png,22.12
GOPR0053.png,25.86
GOPR0064.png,31.06
GOPR0133.png,29.43
GOPR0095.png,21.95
GOPR0073.png,26.51
GOPR0177.png,24.72
GOPR0102.png,25.53
GOPR0110.png,28.62
GOPR0082.png,25.04
GOPR0148.png,28.95
GOPR0103.png,25.37
GOPR0025.png,19.68
GOPR0072.png,26.02
